Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2017 01:00," 8,791.79 ", 896.75 ," 1,997.72 ", 683.62 ," 9,239.15 "," 2,366.63 "," 4,490.78 ", 954.19 ," 29,420.64 "
01/01/2017 02:00," 8,569.71 ", 865.93 ," 1,997.78 ", 677.97 ," 9,105.00 "," 2,332.74 "," 4,370.66 ", 951.03 ," 28,870.81 "
01/01/2017 03:00," 8,326.43 ", 839.05 ," 1,993.70 ", 672.00 ," 8,988.04 "," 2,237.51 "," 4,210.65 ", 944.36 ," 28,211.72 "
01/01/2017 04:00," 8,137.50 ", 822.83 ," 1,995.54 ", 675.27 ," 8,979.15 "," 2,178.10 "," 4,088.71 ", 943.19 ," 27,820.29 "
01/01/2017 05:00," 8,011.87 ", 814.02 ," 1,995.25 ", 663.62 ," 9,033.55 "," 2,133.95 "," 4,021.76 ", 954.94 ," 27,628.96 "
01/01/2017 06:00," 7,978.10 ", 823.42 ," 1,981.35 ", 669.75 ," 9,195.16 "," 2,122.02 "," 4,045.30 ", 972.56 ," 27,787.66 "
01/01/2017 07:00," 8,057.12 ", 844.95 ," 1,983.28 ", 684.49 ," 9,507.35 "," 2,146.56 "," 4,156.67 ", 993.64 ," 28,374.06 "
01/01/2017 08:00," 8,125.76 ", 874.58 ," 2,015.31 ", 710.23 ," 9,881.60 "," 2,137.65 "," 4,286.08 "," 1,019.34 "," 29,050.55 "
01/01/2017 09:00," 8,289.16 ", 919.26 ," 2,008.25 ", 728.17 ," 10,215.31 "," 2,185.33 "," 4,441.36 "," 1,033.34 "," 29,820.17 "
01/01/2017 10:00," 8,646.52 ", 956.21 ," 2,024.82 ", 727.77 ," 10,566.14 "," 2,305.30 "," 4,604.24 "," 1,017.39 "," 30,848.39 "
01/01/2017 11:00," 8,978.80 ", 967.68 ," 2,018.11 ", 716.57 ," 10,712.37 "," 2,434.99 "," 4,684.37 ", 987.11 ," 31,500.00 "
01/01/2017 12:00," 9,315.57 ", 982.30 ," 2,017.95 ", 702.53 ," 10,650.56 "," 2,580.52 "," 4,772.02 ", 958.70 ," 31,980.15 "
01/01/2017 13:00," 9,617.40 ", 991.87 ," 2,015.26 ", 687.07 ," 10,447.37 "," 2,711.91 "," 4,857.10 ", 944.49 ," 32,272.47 "
01/01/2017 14:00," 9,837.89 ", 991.42 ," 2,003.09 ", 671.27 ," 10,139.17 "," 2,812.93 "," 4,936.70 ", 938.31 ," 32,330.78 "
01/01/2017 15:00," 9,957.58 ", 984.59 ," 2,000.15 ", 655.48 ," 9,846.55 "," 2,887.16 "," 5,008.46 ", 933.86 ," 32,273.82 "
